block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
8,1,R1,SU,R1_1,Aluva,R1SUL160342,16:03 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR163841,16:38 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL171342,17:13 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR174841,17:48 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL182342,18:23 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR185841,18:58 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL193342,19:33 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR200801,20:08 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL204306,20:43 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR211222,21:12 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL214826,21:48 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR055636,05:56 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL063147,06:31 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR070646,07:06 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL074147,07:41 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR082155,08:21 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL085727,08:57 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR093226,09:32 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL100727,10:07 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR104226,10:42 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL111727,11:17 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR115226,11:52 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL122727,12:27 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR130226,13:02 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL133727,13:37 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR141226,14:12 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL144727,14:47 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR152226,15:22 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL155727,15:57 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR163226,16:32 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL170727,17:07 Aluva,1
4,0,R1,WK,R1_0,Maharaja College,R1WKR174226,17:42 Maharaja College,1
4,1,R1,WK,R1_1,Aluva,R1WKL181727,18:17 Aluva,1
