stop_id,stop_name,stop_lat,stop_lon,stop_desc
MEHDI4,Mehdipatnam Bus Stop,17.39459,78.43912,
METTU1,Mettuguda,17.4342,78.52128,mettuguda towards alagadda baavi
METTU2,Mettuguda,17.43407,78.52089,mettuguda towards alagadda baavi
MILIT1,Military Dairy Farm,17.48733,78.47337,
MILIT2,Military Dairy Farm,17.48729,78.47357,
MIYAP1,Miyapur,17.49599,78.35819,
MIYAP10,Miyapur X Road,17.49622,78.36259,miyapur x roads towards miyapur
MIYAP2,Miyapur X Road,17.49676,78.36197,
MIYAP3,Miyapur X Road,17.49678,78.36339,
MIYAP4,Miyapur BusStop,17.49586,78.35788,
MIYAP5,Miyapur X Road,17.49686,78.362,
MIYAP6,Miyapur BusStop,17.49548,78.35693,
MIYAP7,Miyapur,17.49608,78.35805,
MIYAP8,Miyapur,17.49606,78.35735,miyapur towards madinaguda
MIYAP9,Miyapur X Road,17.49688,78.3625,miyapur x roads towards miyapur
MMRGA1,MMR Garden Bus Stop,17.48009,78.47312,
MMRGA2,Mmr Garden Bus Bay,17.47982,78.47346,
MOOSA1,Moosapet Bus Stop,17.47024,78.42697,
MOOSA2,Moosapet,17.47177,78.42632,
MOOSA3,Moosapet,17.4726,78.42575,
MOOSA4,Moosarambagh Bus Stop,17.36966,78.51647,
MOOSA5,Moosarambagh,17.36951,78.51591,
MOOSA6,Moosapet Bus Stop,17.47002,78.42735,
MOOSA7,Moosapet,17.4736,78.42496,
MOOSA8,Moosapet,17.47162,78.42642,moosapet towards bharatnagar
MOULA1,Moula Ali Railway Colony,17.44296,78.54726,
MOZAM1,Mozamjahi Market,17.3841,78.4752,
MOZAM2,Mozamjahi Market,17.38059,78.47527,
MUTTA1,Muttangi,17.54209,78.22861,
MYTHR1,Mythrinagar Bus Stop,17.49503,78.34568,
MYTHR2,Mythrinagar,17.49504,78.34571,
MYTHR3,Mythrinagar,17.49511,78.34568,
MYTRI1,Mytrivanam Bus Stop,17.43744,78.44357,
NALAN1,Nala Nagar,17.39513,78.42714,"Tolichowki Road, Kakatiya Nagar, Toli Chowki, Hyderabad"
NALGO1,Nalgonda Cross Roads,17.37559,78.49819,
NALGO2,Nalgonda X Road,17.37552,78.49694,
NALLA1,Nallakunta,17.39873,78.50586,"Nallakunta Main Road, New Nallakunta, New Nallakunta, Hyderabad"
