route_id,service_id,direction_id,trip_id
229,ALL,0,229_0810_0
229,ALL,0,229_0820_0
229,ALL,0,229_0840_0
229,ALL,0,229_0910_0
229,ALL,0,229_0915_0
229,ALL,0,229_1000_0
229,ALL,0,229_1030_0
229,ALL,0,229_1040_0
229,ALL,0,229_1055_0
229,ALL,0,229_1100_0
229,ALL,0,229_1130_0
229,ALL,0,229_1210_0
229,ALL,0,229_1240_0
229,ALL,0,229_1250_0
229,ALL,0,229_1305_0
229,ALL,0,229_1330_0
229,ALL,0,229_1355_0
229,ALL,0,229_1400_0
229,ALL,0,229_1425_0
229,ALL,0,229_1435_0
229,ALL,0,229_1510_0
229,ALL,0,229_1520_0
229,ALL,0,229_1540_0
229,ALL,0,229_1550_0
229,ALL,0,229_1555_0
229,ALL,0,229_1610_0
229,ALL,0,229_1625_0
229,ALL,1,229_0545_1
229,ALL,1,229_0605_1
229,ALL,1,229_0620_1
229,ALL,1,229_0800_1
229,ALL,1,229_0820_1
229,ALL,1,229_0840_1
229,ALL,1,229_1030_1
229,ALL,1,229_1050_1
229,ALL,1,229_1150_1
229,ALL,1,229_1245_1
229,ALL,1,229_1305_1
229,ALL,1,229_1340_1
229,ALL,1,229_1530_1
229,ALL,1,229_1535_1
229,ALL,1,229_1550_1
3JJ,ALL,0,3JJ_0500_0
3JJ,ALL,0,3JJ_0830_0
3JJ,ALL,0,3JJ_1130_0
3JJ,ALL,0,3JJ_1500_0
3JJ,ALL,0,3JJ_1830_0
3JJ,ALL,0,3JJ_1930_0
3JJ,ALL,1,3JJ_0625_1
3JJ,ALL,1,3JJ_0955_1
3JJ,ALL,1,3JJ_1255_1
3JJ,ALL,1,3JJ_1625_1
3JJ,ALL,1,3JJ_1955_1
3JJ,ALL,1,3JJ_2106_1
